q-1135
cdu\p3722
v-2405
e1853a
etp new darp # 4
บริเวณเครื่องกั้นเข้าออกใกล้
200-v1
p-446
unit6800 รถรางไป jetty
new etp beside t5590
1  ti-12526
p-9223b
ห้องพักกะ operator อาคาร canteen
battery reformer 2.
sec 1300
ีu.432
truck load p-s701
2910-me3
้h-3705
osbl orp plant
psv-058c
area hot
heater h-1106
ห้องน้ำชาย work shop
2930-tk 166
2320-p6b
1	dcs monitoring	2021-01-01 03:12:54.000	นั่งเก้าอี้สำนักงานแล้วขาเก้าอี้หัก	null	4c
336
ref#2
r-2801 & r-2802
ทางเดินข้างอาคาร admin
200-pv-048
sdv-0852
main comp.
433-tdic7
ถนน r-134
ft-942
f-7801
q-300
2380-uy-9b
a-3501
pd4601c fire pump belt damage.
a-5091
ห้องพัก contact out
2nd floor
r-1470-a
1st floor.
่j-bm-4702r
ีืunit 200
unit-250
อุปกรณ์ทดสอบคอปเปอร์สติปในไฮโดรคาร์บอน
panel1 cdu hgo sample point
a-4032
ห้อง hc room อาคารแลป
2380-uy9
ถังเหลก20ลิตร
j-11-at-303
e-7204
250-me-10
2200-v52
14-te-4010f
ep-702
ทุก ๆ พื้นที่ในโรงกลั่น
section 1400 line 3
ลิฟต์อาคาร
pk-0601
aro2 block area
pipe 3”r-138
section 1500 prilling tower
wo t5294
กรวยจราจร
furnace-2
waste detector tube
1  train 1 polymerization area
432 v1
แนวท่อ truck load gc8
d-1410b
arear800
ประตูเลกฝั่ง ccb ทางเข้า plant
x-784
coldwork permit no.038722 and hot work permit no. 25851
flare ko drum
fv-7405
s-81106 r
ที่จอดรถจักรยานผู้รับเหมา
wet
packing gpps
gcl - bagging
หมายเลขทะเบียน
poly
pelleting area
o-gb-831b
s-2205
ft-21-1505
d-9165
ที่รองรับน้ำมัน ผู้ปฎิบัติงานไ้นำเศษไม้
tank farm gl2
area 3  b-1201
k-2801b
p-0221
พื้นที่ aro#2
unit7900
file pump 900-p-2-c
me plant 1700d003
b-6983a
2440-v7
pop ชั้น 1
panel-1
comp.house
อาคาร car park
78-pv-315b
ek1851
acid waste
ox-1201
u150
203
ทางลงไปตู้
acetylene converter area 3
area 400 hd1
p-8802a
การจอดรถจักยานใกล้กับที่จอดรถ vacuum trcck
admin building 3nd floor
หน้าอาคาร lab hd2
h gc11
unit crs.
fire water pump n-p-6925-07b
sub station bpa
งานหุ้ม insulation ใช้สว่านเเบตเตอรี่ dc ที่พื้นที่ polymerizer d-201
73-ai-704
px. day storage
forklift driving	2021-01-21 10:31:29.000	พบพนักงานขนถัง ol ปฏิบัติงานอยู่ในจุดเสี่ยง	null	ในวัน
"pipe line steam 12""-sm 940012"
2320-fv-11
furnaces i-4
บริเวณ p-100-b
t-2032
aromatics.3 area
432-v-9
ปลั๊กพ่วง
sump
etp process
320-ea1 e๊
area-p1
2945-aic501
์new transformer
ฺbottom load
on ship
"sub""a"""
540-psv378
ประตูtempo ทางเข้าโรงงาน
pipe line pttgc8
จุดที่จะเดินไปขึ้นรถราง no.3 lower deck jetty.1
sump tank ต่างๆ
ห้องcanteen
pt3301a
hmu
pop 21p-109
431-v1-a
diesel generator at bpa
150 ft 89
pr988
plant hd2
ลาน clean
u14000
ygl
สายสัญญาณ
pot
45-psv-020b
390-p1b
รางระบายน้ำ บริเวณ tankfarm gc8
์isbl
truck loading fv-41-2502
2910-v1b
l-2-y-7010
u-5400 t-5406
sent out
432-v-7
v-7503
utility road near sub-b
๊ีunit 930
level 935-v1
b.v s-069 ข้างรั้ว tpe
ut-3600
ํy-7001
product wh
unit5200 condensate tank
g-1168 decanter
z-6881 screen changer compound w
ลานจอดรถ workshop
e1020a-d
a#6
mitering 48602
phenol 1 process
หน้าตึก
aromatics 1 > 430
f-2504b
1 steam turbine
3900
b ที่ trip เนื่องจากมีงานของ contractor เข้าทำงาน modification ที่ตู้ control systemconsequence = อาจเกิดเหตุการณ์ในลักษณะเดียวกันคล้ายกัน หากมีการทำงาน modification ที่ตู้ control system แล้วเกิดเหตุการณ์ plant trip สร้างให้เกิดความเสียหายกับกระบวนการผลิตcritical = การทำงาน modification ที่ตู้ control system ในขณะ plant เดินเครื่องโรงงานปกติcontrol = ในการทำ incident investigation มีการลงรายละเอียดถึง possible root cause ตามแต่ละ psm barrier เช่น ptw ซึ่งนำไปสู่การทำงานเชิงป้องกันเพื่อไม่ให้เกิดเหตุการณ์ลักษณะคล้ายๆกันซ้ำเดิมกับอุปกรณ์อื่นๆ 	completed	swo_behavior	26001944	นาย ภัค จันทราพร	40	o-mn2-rm	o-mn2	ole	2020-12-01 12:17:30.377	2020-12-01 12:17:30.377	26001944	process safety management
200-e-007a
100-ea3 a
t5265
ห้องทดสอบไฮโดรคาร์บอน
near heater 432-h3
250-me-10-b
tk-66-b  tank  farm
co2 sub 1000
2380-ft-14a
่j-pm-3401c
d-0110 a
p-6982a
p-04
11-spv-701
grating บริเวณ 370
north bettery limit gc3
scb
๊ut and eg area
xs-2403
รางระบายน้ำหัวมุมสามแยก air compressor
ทางเข้าออก warehouse office
2200-ea1i
เครื่องทดสอบ
s2801a
p-210 s
x-1504a
section400
อาคาร extruder
v0405
motor ventilation fan wwt@hd1
cycle gas cooler
bomb e-213
dcs area
b-4701
dip tank 945-tk6b
wwt. 5200p306
พิื่นที่บริเวณหลัง workshop & warehouse
ek2508cd
940-tv210-b
ทางเดินจากที่จอดในโรงรถจนถึงตึกทดสอบ
fv-14-0401
21p-105a
อ่างล้างตา gc8
2900-p-51-e
plc
ace มีงานขุดดินแนวรั้ว hmc งาน utilities supply to hmc pp#4
"pipe line 30"""
section 1800 tk-1801
e2001b
ห้องเกบของ dcs
431-v1ab
2500-fv44
sn-2306
lp70e1
ชั้น3ตึก
พื้นที่ warehouse
n-pm-6875r
200-h4
ประตู g1
แนว bund wall หลัง pump shelter d
100-fic114b
install mov-752
adip regen
2200-sn52
m-19075  metering  rpg  from ptt pe
plf unit
sampling s-1451
บริเวณ 200-v-33
ทางเดินสำหรับผู้รับเหมาในช่วง sd
f-140
งาน
11-sc-1107a-i
l-c-4065
บริเวณ zone 1 ข้าง gtg-j
area warehouse 2
e-1010a
workshop 2
gc#5 work shop floor # 2
area #1
p-01-ft-113
2200-h4
c-9132b
diesel thank
d ของ extension of eo supply project
blh-22 bulk
p-81411r
new area > 390
hv-22141
mtp
load lp to truck
p1. e1019a-d
poles of lighting system
boiler
reformer#1
sn-1404
plant i>
p-1412b
egf  flare
p4 area2
xv-11v204bl
540-ea-001-b
หน้าบ้าน
aro.1&2
train
swo-2020-040469	gc11- olefins 3-cracker plant	lifting by crane	2020-10-09 13:42:14.000	ผู้รับเหมานำอุปกรณ์ช่วยยกที่ยังไม่ผ่านการตรวจสภาพมาใช้งาน	null	ตรวจสอบพื้นที่พบผู้รับเหมาบริษัท ics ปฏิบัติงานยกอุปกรณ์ โดยนำอุปกรณ์ช่วยยกที่ยังไม่ผ่านการตรวจสภาพมาใช้งานเเจ้งหัวหน้างานเเละ safety ผู้รับเหมาให้รับทราบ
etc.
k-2001
uxv-23-0301
crane
150 ai75
c-5101c
500-p13a
500-v-3
กนอ.กงไก่
t-1102 at ttt
fuel gas to eps
change
area8 r-3600-pm-1s
ldpe battary limit
t area pipe rack 115kv
truckloading i-17
z-452-1
new eq v-1313
ptt gsp pump21 lpg
psv reactor to scrubber
swo-2020-002824	gc3- olefins i-4
บ่อน้ำดับเพลิง
t2 cylinder scale [l-s-1505]
๊๊๊u-5200 t5295
ห้อง pelletizer gpps
tk-4101
dcs ccb
2200-v55
ชุด screen pack	null	null	null_x000d_
d  aro# 1
2320-ft16
truck loading gc8
ที่บริเวณ truck loading gc8 i-17 บริษัทace
unit 150
eo new pump
2540-e7
vent refrigarator l-v-5214
chemical testing room 2
การติดตั้งนั่งร้านบริเวณ u-1100
ตัด
green
sulphur
อาคารเกบสารเคมี บริเวณ ramp
plastics recycling
wwt phenol1 tk-9114
2500u020-p21
n-52lza031 and n-52lza151
eo pipeline
area-0200
๊u1400
10pcv003
sps-81310
ฝาครอบท่อแก๊ส
ข้างๆ r-4031
tk-1875
ccr unit
project px to truckload
line tranfer
6840  psc  471
common pipe rack pr912
p1302 b
tk-1801 dist
aro#2
อุปกรณ์ความปลอดภัยอย่างเหมาะสม 	completed	swo_behavior	26002627	นาย อภิวัฒน์ สุขสงวน	60	r-rm-op	r-rm	ref	2020-08-20 16:41:28.603	2020-08-20 16:41:28.603	26002627	อุปกรณ์ เครื่องมือ เครื่องจักร	rcl	null	null	null_x000d_
ft-v2012
3300t003a
heater 2200
sample reception
5200u001
sub#1
100-p9a
c-c-0201
ข้างถนนสาย36
ru-3101 tk-02
บันไดขึ้น
unit 1000 e1031ab
v2507
010
"6""tailgas"
11ti706b
e-1820m2
section 0700 hexane recovery
2930-tk17 to 2930-tk16
polymer loading area
ห้อง security ro.
ห้องทดสอบ utility 1
tankfarm 1
บอมบ์เกบตัวอย่าง 431sn3
wh หน้า dock load ช่อง 9
2440p3
bay load
4 road.
g10
piperack sulphur
m-330
2540-p4
ทีพักพนักงาน w
22-pv-308
2500-p14 a
bun mb
d-9161
ea wwt
t-4030 a-b-c
tr1
uint 6940
base plate p1778a
panel-3 sru-1
z5034
tk-4112
370-psv-15a
ลิฟท์
membrane
plan
l-y-5019
ตัดไฟฟ้าระบบ vsd
p-478b
tk-4b
#1800
935-fv350 spill back
500-v11
bottle  wash  room
อาคารบำรุงรักษา w
line unload กรด h2so4 to tk-4110
blower
ประตู g-14
ลาน spent bleacing cray
tk-4113a
osbo
q max unit
ocdn c-1201
b silo bpa
ถนนหน้า gc glycol
ถนนในโรงงาน
p-5606a
iรถซาเล้ง
pipe rack 304 @ ll2
p-1705
gd-6904
4'' steam 25hs
210
011
comp.. b-4900
200-ea1f
volumetric kf
p-921
บริเวณ tank o-fa-801d
ห้องรับประทานอาหาร ชั้น1 office
2 process area
eob
section 100 บริเวร p-105a
m-1710
p-81807r
ฝาปิดรางระบายน้ำใน
sulfuric pump
ccb ggc plant
q-3301-1
p-6945 a
u-p1-2019
a-390
osbl transformer
u1051
้hdpe pilot plant hd1
อาคาร substation lldpe#2
935-psv-364
44psv703a
380-ea-3d
gc-3
new lighting
ccb control room i-1
2945-tk-53
250me10
6120-lan-001
55tiza604
mcb
area ocdn x-1304
rcl unit 8500
p-1703b
11v-304aa
บริเวณที่จอดรถประตู g-6
ps warehouse
u430
ut-3618
additive refill valve
rubber preparation unit
v1505b
v4124c
i-15trsa516
cooling tower no.3
อาคารบานชื่น
line pipe t-6940
unit1850
s1201b
z128
u-01a-81703
ทางลาดเอียงใน
am-5081
ถนนทางเข้า ro เปนหลุม
tk35
knock out drum v-6966
unit 2200 : 2200-v17
zone-1 eps
320-c-3 common pipe rack
plf unit u-1500
warehouse bpa
main stack
2945 pump p-54a
r-936
c2801
me plant 1700e0
p-6901b
line vent to flare
tk-24b tankfarm d pttgc8
swo-2020-006160	gc5- aromatics 2	line walk activity	2020-02-26 09:00:00.000	grout joint concrete damage 	null	grout joint คอนกรีตชำรุด จะทำให้น้ำซึมลงไปขังใต้คอนกรีต
ห้องน้ำอาคาร ccb ชั้นล่าง
t-6945 a
catalyst d-1110b train 1
new centrifugal seperator unit
zone 2 บริเวณ f-4603
sc-420
2pv-148 no.1 & 2
p-1704
m-f-160a
s-1801a
frc tank
p-81207a
ิblock valve ก่อน 54-fq-053
line walk
reformer i : 2140
p-6301a
admin area
eps-3 project
d-1507
meter 385 บริเวณ tankfarm b pttgc8
field
โรงแรมแมมารีนที่พัก lock up pttgc br.2
2945 tk64a
pump eva
m2047
utility  unit
section 100 at container
ถนนหน้าhgp
etp  ffu5
380-at-224
็h-1105
2150-sn-8
grounding pipe line lpg บริเวณข้างshelter pump 945-p9a
fw pump p-9501b
voc room
v-3606
แนวรั่ว tpe
pelletizing bpe-2
หน้าป้อม บริเวณ g2
fl-0315-2
11v-208a
s-1402
t-1002
11-203
ฺboiler s
100-ev-739
area 2 h-1107
หน้าทางเข้า truck load
2150-v3 suction drum 2150-c1ab
t-6983-01a butadiene tank
2540-fic-10
isbl prill tower area xv-1968
d-2204c
อาคาร t2 supply
u2050
z-9215
e-0453 b
ตรงจุด tie in valve ethylene หน้า กนอ.
area workshop pe
ถนนด้านหน้าทางเข้า btf
meter 935-fqic-23
rtl gantry load.
gtg-a
c2501
z-1722
อาคาร drum filling ea
pv-14-0901
433-p-5 a
ocdn isbl
วีรวัฒน์ บุญยืน	null	พนักงาน ce ได้มีการยกปั้นจั่น มีการปฎิบัติตามขั้นตอน
ตีก admin ชั้น3 laboratory testing room
v-2605a line drain
fl-0853a
พื้นที่ phenol ii
hood acid
e-0704
ut sub j-4201-apbt-001a
ประกอบเชื่อม pipe
ft-7405
pd-3201r
2440-sn21
540-v14a
โรงผลิตน้ำอุตสาหกรรม
320-p1b
p-4106
ชุมชนรอบโรงงาน
md.53 jetty.2
mcb aromatics 1
pi-21-0903
bbm-01c-1301b
250-unit
2200-c5
540-p8b
ทางเดินออกจากประตูเข้าส่วนกระบวนการผลิต gc11
500-v8
qmax ph1
ริมถนน หรือ ข้างทาง
unit 500 500-p1c
re-liquefaction unit e-6940-04
p-85609 r pump slurry
ห้องโถงชั้นล่าง
หมู่บ้าน
mov & gear
ห้อง maim lab phenol
iar floor
เครื่องปรับอากาศ
rt-600
pm-5250a
pr 984
swo-2020-047010	gc11- ldpe plant	chemical top up
930 unit gc8
up-1702
new pipe line of cracker bottom
lp steam header
ring
นอกพื้นที่ทำงาน
road 15
540-fv 54
สนามฟุตบอล ro
grating ข้าง wm-1630
หน้าประตูเข้าแพล้น hd2 ข้าง g 31
eps piperack r139
งาน wwt improment of  existing unit for maximun utillzation project.ที่ole3  i-4.
ป้อม g5
ระบบinject
v-2202
pipe px to truck load
wwt tk-9151
2200v5b
sub #e i-17
pt-1778a
cdu. u1100
t-3982
2945-p-9a
500-p-15b
p-6605a
tk-3405
พื้น ลาน spent bc
v-3523a
p-3841
บริเวณบ่อบาดาล ข้าง m-3101
พื้นที่กระบวนการผลิต
near 2200 h1
432-ea-5b
mt ocean mercury
s ห้องทำงาน
ถนน i-4
quench area t-330
s glycol
h-81104
2500-v19
ตั้งนั่งร้านหน้า office warehouse
xc12
p-5001a
รอให้อุปกรณ์คายความร้อนออกมาก่อนถอด
road entrance restricted area road no9
gel testing room2
tank farm < b >
e7b
14-zv-4100
p-925a
silo pellet
s ด้านตรงข้ามประตู w
e-6253b
u-5600 b-5602r
adip
b-4702r
d-0301
sm
พื้นที่ตึก fire fighting
pellet ชั้น3
metering 514
p5294
431-e2
fractionation
white oil
ิิิbv
ป้อม รปภใ
jetty's switch house
unit lube oil b-1601
2540-p4-b
additive line 3
v-110-p1f
u.2800 v2812
s-21
งานแก้ไขนั่งร้านข้าง box culvert
l-2-lsh-6236-1
tm-6151-2
c-hv-0221
ทุกอุปกรณ์ใน process area
อาคาร t2
oru
พื้นที่ข้างรั้วโรงแยกฯ
work shop gc11
q-831a
370-v-2
pane 3
analyzer house1
430-ea10a
unit 1400
b-85501r
2100-p-7b
e-3a
2945-psv551
ttt
ppg product tank
380
gn-3901h
analyzer shed
๊ห้อง
2-ym-7007
p-2302ab
jty2
v-4308
